sim_id,step,individuals,present_species,shannon,patch_individuals_mean,patch_species_mean,patch_shannon_mean,sample_individuals_mean,sample_species_mean,sample_shannon_mean,habitat,fragmentation,n_patches,n_samples
1,1,1613,425,5.87243069351853,1613,425,5.87243069351853,0,0,0,1,0,1,0
1,2,1379,400,5.78540860603792,1379,400,5.78540860603792,0,0,0,1,0,1,0
1,3,1231,377,5.71615485940018,1231,377,5.71615485940018,0,0,0,1,0,1,0
1,4,1100,351,5.63312530579707,1100,351,5.63312530579707,0,0,0,1,0,1,0
1,5,1001,328,5.56087484277816,1001,328,5.56087484277816,0,0,0,1,0,1,0
1,6,932,306,5.49450206922378,932,306,5.49450206922378,0,0,0,1,0,1,0
1,7,828,286,5.39344901731766,828,286,5.39344901731766,0,0,0,1,0,1,0
1,8,776,259,5.29239817626455,776,259,5.29239817626455,0,0,0,1,0,1,0
1,9,713,236,5.18111124693951,713,236,5.18111124693951,0,0,0,1,0,1,0
1,10,642,221,5.11444500058573,642,221,5.11444500058573,0,0,0,1,0,1,0
1,11,574,200,4.98949261734387,574,200,4.98949261734387,0,0,0,1,0,1,0
1,12,518,183,4.91842619096971,518,183,4.91842619096971,0,0,0,1,0,1,0
1,13,482,162,4.78873543093494,482,162,4.78873543093494,0,0,0,1,0,1,0
1,14,466,158,4.74810288545721,466,158,4.74810288545721,0,0,0,1,0,1,0
1,15,442,148,4.69694312571779,442,148,4.69694312571779,0,0,0,1,0,1,0
1,16,389,137,4.63012522973092,389,137,4.63012522973092,0,0,0,1,0,1,0
1,17,376,130,4.5448465628108,376,130,4.5448465628108,0,0,0,1,0,1,0
1,18,361,122,4.49640983582461,361,122,4.49640983582461,0,0,0,1,0,1,0
1,19,365,118,4.4800898869481,365,118,4.4800898869481,0,0,0,1,0,1,0
1,20,345,116,4.45792661847815,345,116,4.45792661847815,0,0,0,1,0,1,0
1,21,331,105,4.34154255929875,331,105,4.34154255929875,0,0,0,1,0,1,0
1,22,329,103,4.30530441536433,329,103,4.30530441536433,0,0,0,1,0,1,0
1,23,303,101,4.27549387660114,303,101,4.27549387660114,0,0,0,1,0,1,0
1,24,290,102,4.2827559450553,290,102,4.2827559450553,0,0,0,1,0,1,0
1,25,297,100,4.23506420087469,297,100,4.23506420087469,0,0,0,1,0,1,0
1,26,290,93,4.17083952153673,290,93,4.17083952153673,0,0,0,1,0,1,0
1,27,285,90,4.12349476814437,285,90,4.12349476814437,0,0,0,1,0,1,0
