sim_id,step,individuals,present_species,shannon,patch_individuals_mean,patch_species_mean,patch_shannon_mean,sample_individuals_mean,sample_species_mean,sample_shannon_mean,habitat,fragmentation,n_patches,n_samples
1,56,14052,351,5.3729469584668,14052,351,5.3729469584668,37.8,19.0666666666667,2.73542133565632,0.15,0.1,1,30
1,57,14108,347,5.36347903553049,14108,347,5.36347903553049,37.4333333333333,18.9666666666667,2.72990992591349,0.15,0.1,1,30
1,58,14151,344,5.3564205857301,14151,344,5.3564205857301,37.1333333333333,19.1666666666667,2.72927884219888,0.15,0.1,1,30
1,59,14124,340,5.34632847884781,14124,340,5.34632847884781,38,19.1,2.7122626295538,0.15,0.1,1,30
1,60,14053,340,5.34657847600395,14053,340,5.34657847600395,37.0333333333333,18.6333333333333,2.69482616648627,0.15,0.1,1,30
1,61,14078,337,5.34011849502817,14078,337,5.34011849502817,37.2333333333333,18.9333333333333,2.69315604277516,0.15,0.1,1,30
1,62,14160,332,5.33157584539347,14160,332,5.33157584539347,37.3333333333333,18.6666666666667,2.67617753970928,0.15,0.1,1,30
1,63,14075,329,5.32929704165713,14075,329,5.32929704165713,38.0666666666667,18.8333333333333,2.67984661808566,0.15,0.1,1,30
1,64,14025,326,5.32102659438252,14025,326,5.32102659438252,37.8666666666667,18.4,2.63719430889354,0.15,0.1,1,30
1,65,14074,324,5.31921378587202,14074,324,5.31921378587202,37.5666666666667,18.2,2.64092467000525,0.15,0.1,1,30
1,66,14068,321,5.31270284423766,14068,321,5.31270284423766,36.9333333333333,18.2,2.63393407623883,0.15,0.1,1,30
1,67,14107,317,5.30856401378319,14107,317,5.30856401378319,36.3666666666667,18.0333333333333,2.62312868799865,0.15,0.1,1,30
1,68,14029,318,5.29854657365219,14029,318,5.29854657365219,36.2666666666667,18.4333333333333,2.65395190894176,0.15,0.1,1,30
1,69,14108,313,5.29126890606543,14108,313,5.29126890606543,36.4666666666667,18.6333333333333,2.67338187241492,0.15,0.1,1,30
1,70,14024,312,5.28752992356423,14024,312,5.28752992356423,36.8666666666667,18.5333333333333,2.69129342902966,0.15,0.1,1,30
1,71,14135,311,5.27989595218628,14135,311,5.27989595218628,38.2,18.7,2.69516710541849,0.15,0.1,1,30
1,72,14105,308,5.27113911448984,14105,308,5.27113911448984,38.2666666666667,18.8666666666667,2.68908629063987,0.15,0.1,1,30
1,73,13977,302,5.26886569341835,13977,302,5.26886569341835,37.2666666666667,18,2.65162268372417,0.15,0.1,1,30
1,74,14134,303,5.2657554668178,14134,303,5.2657554668178,37.4666666666667,18.2333333333333,2.66957424485677,0.15,0.1,1,30
1,75,14121,302,5.26722001793928,14121,302,5.26722001793928,37.5666666666667,18.3666666666667,2.67693704494254,0.15,0.1,1,30
1,76,14162,303,5.25818008644477,14162,303,5.25818008644477,37.2666666666667,18.6666666666667,2.69618245281868,0.15,0.1,1,30
1,77,13981,301,5.25630494296193,13981,301,5.25630494296193,38.1333333333333,18.6666666666667,2.70129730921572,0.15,0.1,1,30
1,78,13980,299,5.25755812054131,13980,299,5.25755812054131,37.6666666666667,19.2666666666667,2.72940613385906,0.15,0.1,1,30
1,79,14071,293,5.25635112133842,14071,293,5.25635112133842,37.2,18.8,2.72656384452401,0.15,0.1,1,30
1,80,14138,293,5.25228134801378,14138,293,5.25228134801378,37.0333333333333,18.3333333333333,2.68691458820569,0.15,0.1,1,30
1,81,14096,294,5.24951853899842,14096,294,5.24951853899842,38.2,18.6333333333333,2.68672405949658,0.15,0.1,1,30
1,82,14036,292,5.24063218552523,14036,292,5.24063218552523,37.4333333333333,18.4333333333333,2.67010195558901,0.15,0.1,1,30
1,83,14067,292,5.23850071548301,14067,292,5.23850071548301,37.6333333333333,18.1,2.64696840118416,0.15,0.1,1,30
1,84,14091,291,5.23818100617251,14091,291,5.23818100617251,37.8333333333333,18.5666666666667,2.67970304883703,0.15,0.1,1,30
1,85,14026,289,5.23408723000409,14026,289,5.23408723000409,36.7,18.2666666666667,2.66882961053956,0.15,0.1,1,30
1,86,14124,287,5.22187583803077,14124,287,5.22187583803077,37.9333333333333,18.3666666666667,2.66443464845489,0.15,0.1,1,30
1,87,14000,286,5.21868754932858,14000,286,5.21868754932858,38,18.5,2.67233224856026,0.15,0.1,1,30
1,88,14080,285,5.21552849393402,14080,285,5.21552849393402,38.1666666666667,18.5,2.67344927048416,0.15,0.1,1,30
1,89,14104,282,5.21992356898628,14104,282,5.21992356898628,37.7333333333333,18.4333333333333,2.6709216112497,0.15,0.1,1,30
1,90,13984,278,5.21768777189007,13984,278,5.21768777189007,37.6333333333333,18.6666666666667,2.69202400249914,0.15,0.1,1,30
1,91,14126,277,5.21428498856799,14126,277,5.21428498856799,37.5666666666667,18.5666666666667,2.6725587055385,0.15,0.1,1,30
1,92,13947,277,5.21072621045178,13947,277,5.21072621045178,36.4666666666667,18.3,2.66957144229978,0.15,0.1,1,30
1,93,14115,277,5.20532581207592,14115,277,5.20532581207592,36.9,18.6,2.68862526972717,0.15,0.1,1,30
1,94,14238,273,5.20576282382257,14238,273,5.20576282382257,38.0666666666667,19.1666666666667,2.73388224579709,0.15,0.1,1,30
1,95,13980,270,5.20098272143879,13980,270,5.20098272143879,36.2,18.1333333333333,2.6766914876808,0.15,0.1,1,30
1,96,14097,269,5.19343804398987,14097,269,5.19343804398987,38,18.4666666666667,2.68742275861524,0.15,0.1,1,30
1,97,14132,270,5.19155709418504,14132,270,5.19155709418504,37.4333333333333,18.0666666666667,2.66617479331328,0.15,0.1,1,30
1,98,14064,268,5.17859918844812,14064,268,5.17859918844812,37.8333333333333,17.8666666666667,2.64591848311267,0.15,0.1,1,30
1,99,14065,266,5.18017057232986,14065,266,5.18017057232986,37.7666666666667,18.1333333333333,2.66314605915914,0.15,0.1,1,30
1,100,14019,266,5.18107894332206,14019,266,5.18107894332206,38.0666666666667,18.3,2.6727602985408,0.15,0.1,1,30
2,1,5000,991,6.80295104774214,5000,991,6.80295104774214,0,0,0,1,0,1,0
2,2,6327,982,6.77278427769456,6327,982,6.77278427769456,0,0,0,1,0,1,0
2,3,8043,979,6.75345321690358,8043,979,6.75345321690358,0,0,0,1,0,1,0
2,4,10313,978,6.73702305693451,10313,978,6.73702305693451,0,0,0,1,0,1,0
2,5,13204,975,6.72561302712745,13204,975,6.72561302712745,0,0,0,1,0,1,0
2,6,17184,973,6.71038268062912,17184,973,6.71038268062912,0,0,0,1,0,1,0
2,7,22234,973,6.69762042188697,22234,973,6.69762042188697,0,0,0,1,0,1,0
2,8,28896,973,6.68533994270113,28896,973,6.68533994270113,0,0,0,1,0,1,0
2,9,37698,973,6.67727745464722,37698,973,6.67727745464722,0,0,0,1,0,1,0
2,10,48989,973,6.6684085675036,48989,973,6.6684085675036,0,0,0,1,0,1,0
2,11,62694,972,6.65944559459189,62694,972,6.65944559459189,0,0,0,1,0,1,0
2,12,76604,972,6.65175030756725,76604,972,6.65175030756725,0,0,0,1,0,1,0
2,13,86589,973,6.64663484097942,86589,973,6.64663484097942,0,0,0,1,0,1,0
2,14,91039,971,6.64257887852026,91039,971,6.64257887852026,0,0,0,1,0,1,0
2,15,92611,971,6.63971776012236,92611,971,6.63971776012236,0,0,0,1,0,1,0
2,16,93266,971,6.6378618897312,93266,971,6.6378618897312,0,0,0,1,0,1,0
2,17,93354,970,6.63555076640503,93354,970,6.63555076640503,0,0,0,1,0,1,0
2,18,93560,970,6.63206398191486,93560,970,6.63206398191486,0,0,0,1,0,1,0
2,19,93886,969,6.62916874695477,93886,969,6.62916874695477,0,0,0,1,0,1,0
2,20,93769,968,6.62713219888112,93769,968,6.62713219888112,0,0,0,1,0,1,0
2,21,93729,969,6.62447282037627,93729,969,6.62447282037627,0,0,0,1,0,1,0
2,22,93628,969,6.62049806459641,93628,969,6.62049806459641,0,0,0,1,0,1,0
2,23,93585,970,6.61757532945186,93585,970,6.61757532945186,0,0,0,1,0,1,0
2,24,93639,968,6.61198573577744,93639,968,6.61198573577744,0,0,0,1,0,1,0
2,25,93379,967,6.60969610202485,93379,967,6.60969610202485,0,0,0,1,0,1,0
2,26,93798,967,6.60771520921835,93798,967,6.60771520921835,0,0,0,1,0,1,0
2,27,93573,967,6.60545394593885,93573,967,6.60545394593885,0,0,0,1,0,1,0
2,28,93804,966,6.6024953398202,93804,966,6.6024953398202,0,0,0,1,0,1,0
2,29,93810,965,6.59744529382281,93810,965,6.59744529382281,0,0,0,1,0,1,0
2,30,93876,964,6.59658452989505,93876,964,6.59658452989505,0,0,0,1,0,1,0
2,31,93745,963,6.59469529847338,93745,963,6.59469529847338,0,0,0,1,0,1,0
2,32,93728,963,6.59217011121719,93728,963,6.59217011121719,0,0,0,1,0,1,0
2,33,93960,960,6.59171721205005,93960,960,6.59171721205005,0,0,0,1,0,1,0
2,34,93915,959,6.58869124012523,93915,959,6.58869124012523,0,0,0,1,0,1,0
2,35,93765,958,6.58402126518851,93765,958,6.58402126518851,0,0,0,1,0,1,0
2,36,93723,956,6.58036666183969,93723,956,6.58036666183969,0,0,0,1,0,1,0
2,37,93744,956,6.57791980891932,93744,956,6.57791980891932,0,0,0,1,0,1,0
2,38,93602,956,6.57803972976614,93602,956,6.57803972976614,0,0,0,1,0,1,0
2,39,93584,956,6.57651666143438,93584,956,6.57651666143438,0,0,0,1,0,1,0
2,40,93688,956,6.5733602393227,93688,956,6.5733602393227,0,0,0,1,0,1,0
2,41,14014,500,5.62592486283327,4671.33333333333,191.666666666667,4.26150445711348,37.4666666666667,18.4666666666667,2.6440559829916,0.15,0.2,3,30
2,42,14088,489,5.61292114997437,4696,184.666666666667,4.18989213213286,38.1333333333333,18.8666666666667,2.67696743704037,0.15,0.2,3,30
2,43,14085,483,5.5951065496874,4695,182,4.12106444558755,36.7333333333333,18.1,2.64029653616965,0.15,0.2,3,30
2,44,14127,477,5.5837913219091,4709,179.666666666667,4.07233772124174,38,18.4333333333333,2.66344664585102,0.15,0.2,3,30
2,45,14031,467,5.57687083408966,4677,174.666666666667,4.05133616088123,37.6666666666667,18.1333333333333,2.64798007012845,0.15,0.2,3,30
2,46,14076,457,5.56787099534749,4692,170.333333333333,4.04332930439805,37,17.6333333333333,2.63346630157568,0.15,0.2,3,30
2,47,14138,451,5.5480724728007,4712.66666666667,167,3.92386031209358,37.6,17.5666666666667,2.62646335903263,0.15,0.2,3,30
2,48,14105,447,5.53994022119915,4701.66666666667,166,3.89099999757916,37.3,17.4333333333333,2.61748387105837,0.15,0.2,3,30
2,49,14149,442,5.53502522591924,4716.33333333333,163.666666666667,3.82833589193023,37.3,17.1666666666667,2.60400070233973,0.15,0.2,3,30
2,50,14158,436,5.52355055354505,4719.33333333333,162.666666666667,3.88306797631631,37.8666666666667,17.3333333333333,2.60453865102885,0.15,0.2,3,30
2,51,14113,431,5.51083979101994,4704.33333333333,160.666666666667,3.85366391910913,38.1,17.4333333333333,2.59336454379015,0.15,0.2,3,30
2,52,14044,429,5.50206149680946,4681.33333333333,159.333333333333,3.80448903855815,37.7333333333333,17.4333333333333,2.60105614836673,0.15,0.2,3,30
2,53,14129,425,5.49154500439172,4709.66666666667,158,3.77465966854804,38.5666666666667,17.8666666666667,2.62942116486854,0.15,0.2,3,30
2,54,14017,412,5.47257386316027,4672.33333333333,153,3.76530330611025,36.6333333333333,17.2666666666667,2.61082654364032,0.15,0.2,3,30
2,55,14052,409,5.47001220557906,4684,151.333333333333,3.74183227580521,36.6333333333333,17.3,2.60138731191552,0.15,0.2,3,30
2,56,14005,406,5.46552011858453,4668.33333333333,149.666666666667,3.65267412033655,38.8333333333333,17.8333333333333,2.62533458538866,0.15,0.2,3,30
2,57,14042,405,5.4610405031361,4680.66666666667,149,3.56357347747345,36.8,17.3666666666667,2.61189226329946,0.15,0.2,3,30
2,58,14080,404,5.44980423632637,4693.33333333333,149.666666666667,3.54407680461811,38.2666666666667,17.4666666666667,2.60419182848308,0.15,0.2,3,30
2,59,14012,400,5.43985648545425,4670.66666666667,149,3.54434919492914,37.1,16.5666666666667,2.54784297274486,0.15,0.2,3,30
2,60,14102,395,5.43013923094537,4700.66666666667,148,3.49894982180349,38.1333333333333,16.6666666666667,2.55515310437091,0.15,0.2,3,30
2,61,14154,388,5.42307558690993,4718,143.666666666667,3.51363843445157,38.4333333333333,16.5,2.54700952024241,0.15,0.2,3,30
2,62,14002,387,5.42681370153464,4667.33333333333,142.666666666667,3.49620788077897,37.9333333333333,16.6,2.54486390587665,0.15,0.2,3,30
2,63,14103,381,5.41567857667867,4701,140.666666666667,3.45466054398186,38.6333333333333,17.2,2.56006389012651,0.15,0.2,3,30
2,64,14126,379,5.4049823510547,4708.66666666667,140.333333333333,3.46030692835484,37.1666666666667,16.7,2.53701136083799,0.15,0.2,3,30
2,65,14154,376,5.40864635486165,4718,138.333333333333,3.49734588613107,37.9,17.1666666666667,2.5674511819485,0.15,0.2,3,30
2,66,14046,374,5.4030436777634,4682,138,3.5070059983314,37.6333333333333,16.8666666666667,2.56740844922952,0.15,0.2,3,30
2,67,14078,370,5.39540122018618,4692.66666666667,137,3.48945494667885,37.2666666666667,17.2,2.57471641246672,0.15,0.2,3,30
2,68,14036,369,5.3888912506593,4678.66666666667,135,3.38646803350846,38.4,17.4,2.59241395554777,0.15,0.2,3,30
2,69,14143,365,5.38008196452668,4714.33333333333,133.666666666667,3.24919951588269,37.2666666666667,16.5666666666667,2.55636043975798,0.15,0.2,3,30
2,70,14180,365,5.37628089874922,4726.66666666667,133,3.19150159286451,37.4,16.3666666666667,2.53423592973941,0.15,0.2,3,30
2,71,14089,364,5.36296537208751,4696.33333333333,131,3.16354013903661,37.4,16.7,2.54534795871189,0.15,0.2,3,30
2,72,14101,365,5.36110051997152,4700.33333333333,131.666666666667,3.18588071598325,37.5666666666667,16.4,2.54010295501006,0.15,0.2,3,30
2,73,14105,362,5.36136347509049,4701.66666666667,131.333333333333,3.16665723115898,36.5666666666667,15.9,2.51306968054514,0.15,0.2,3,30
2,74,14088,363,5.35980117377939,4696,131.333333333333,3.16854145196064,36.8666666666667,16.3333333333333,2.53818582554959,0.15,0.2,3,30
2,75,14165,362,5.35598187192826,4721.66666666667,131.333333333333,3.11511584455185,37.5333333333333,16.5,2.54507346955584,0.15,0.2,3,30
2,76,14127,361,5.35407521944375,4709,131.666666666667,3.15551254463794,37.8666666666667,16.4333333333333,2.55246520166984,0.15,0.2,3,30
2,77,14024,357,5.34731339143256,4674.66666666667,130.333333333333,3.16223773665654,37.1,16.6,2.57571228018205,0.15,0.2,3,30
2,78,14116,358,5.34926892866343,4705.33333333333,131.333333333333,3.18629808552383,37.1666666666667,16.7333333333333,2.57425660834865,0.15,0.2,3,30
2,79,13989,353,5.34942221146464,4663,128.666666666667,3.19658638590636,37.2666666666667,17.0333333333333,2.59698308174753,0.15,0.2,3,30
2,80,14015,350,5.33749156438814,4671.66666666667,128,3.1869690314737,37.8333333333333,17,2.58743183715224,0.15,0.2,3,30
2,81,14100,350,5.33529943109066,4700,128,3.1804095589976,36.7333333333333,16.4333333333333,2.54696037945562,0.15,0.2,3,30
2,82,14092,346,5.33293909627184,4697.33333333333,126.666666666667,3.20039587745191,36.5333333333333,16.2666666666667,2.54160280045051,0.15,0.2,3,30
2,83,14130,345,5.33804058649495,4710,125.666666666667,3.1616625261871,38,16.3333333333333,2.54749962949278,0.15,0.2,3,30
2,84,14099,342,5.33376292300418,4699.66666666667,124.666666666667,3.16932304905223,36.9333333333333,16.5,2.56630326066117,0.15,0.2,3,30
2,85,14042,339,5.32913808711436,4680.66666666667,123.666666666667,3.2061505036362,38,16.8333333333333,2.57581130457062,0.15,0.2,3,30
2,86,14048,338,5.32288636684827,4682.66666666667,123.666666666667,3.14333527624305,36.8333333333333,16.6333333333333,2.56292149222929,0.15,0.2,3,30
2,87,14061,337,5.31995251485657,4687,123.666666666667,3.16791395053376,36.6333333333333,16.8,2.57130556823052,0.15,0.2,3,30
2,88,14114,334,5.32084596539624,4704.66666666667,123,3.17028637391318,37.6333333333333,16.7666666666667,2.56539040830243,0.15,0.2,3,30
2,89,14237,336,5.31617961501138,4745.66666666667,123.666666666667,3.18824344916886,37.7333333333333,16.5,2.55812353251325,0.15,0.2,3,30
2,90,14112,334,5.31323638366596,4704,123.333333333333,3.22065735627531,37.4333333333333,16.8333333333333,2.57517946725323,0.15,0.2,3,30
2,91,14099,334,5.3056598145593,4699.66666666667,123.333333333333,3.17145654500289,37.4333333333333,16.8666666666667,2.56999737355632,0.15,0.2,3,30
2,92,14080,334,5.301060244707,4693.33333333333,123,3.15114121697253,37.5333333333333,16.5,2.54716794990481,0.15,0.2,3,30
2,93,14068,333,5.29315341800592,4689.33333333333,123.333333333333,3.15316734645482,36.8333333333333,16.0333333333333,2.52748770835963,0.15,0.2,3,30
2,94,14081,332,5.30045398196841,4693.66666666667,122.666666666667,3.14924109164147,37.6666666666667,16.3666666666667,2.53731601682125,0.15,0.2,3,30
2,95,14033,329,5.29623611439664,4677.66666666667,121.666666666667,3.11645474462367,36.9666666666667,16.4,2.52966076423265,0.15,0.2,3,30
2,96,14045,329,5.29340497415559,4681.66666666667,122,3.08402892622678,36.4,16.2666666666667,2.52353200780276,0.15,0.2,3,30
2,97,14080,329,5.28257084686582,4693.33333333333,121,3.02874049163167,37.8666666666667,16.2,2.50414109714831,0.15,0.2,3,30
2,98,14105,323,5.28139464996914,4701.66666666667,119.333333333333,3.02746366893074,36.9666666666667,15.8333333333333,2.48701855492147,0.15,0.2,3,30
2,99,13974,320,5.26906304383627,4658,118,3.01933401320253,36.9666666666667,15.9333333333333,2.49405388056631,0.15,0.2,3,30
2,100,14015,319,5.26918834159756,4671.66666666667,117.333333333333,3.01585419032109,37.4,16.5333333333333,2.5215456158269,0.15,0.2,3,30
3,1,5000,996,6.80452694312239,5000,996,6.80452694312239,0,0,0,1,0,1,0
3,2,6364,991,6.77286036328817,6364,991,6.77286036328817,0,0,0,1,0,1,0
3,3,8088,989,6.74806326150384,8088,989,6.74806326150384,0,0,0,1,0,1,0
3,4,10349,984,6.73097880936941,10349,984,6.73097880936941,0,0,0,1,0,1,0
3,5,13229,983,6.71710849281464,13229,983,6.71710849281464,0,0,0,1,0,1,0
3,6,17256,980,6.70589989813502,17256,980,6.70589989813502,0,0,0,1,0,1,0
3,7,22253,979,6.69477718038036,22253,979,6.69477718038036,0,0,0,1,0,1,0
3,8,28969,975,6.68683833680465,28969,975,6.68683833680465,0,0,0,1,0,1,0
3,9,37757,974,6.67627377641297,37757,974,6.67627377641297,0,0,0,1,0,1,0
3,10,49052,973,6.66721431825091,49052,973,6.66721431825091,0,0,0,1,0,1,0
3,11,62433,974,6.66084845067837,62433,974,6.66084845067837,0,0,0,1,0,1,0
3,12,76032,974,6.65294048807429,76032,974,6.65294048807429,0,0,0,1,0,1,0
3,13,85854,974,6.64676243348946,85854,974,6.64676243348946,0,0,0,1,0,1,0
3,14,90695,974,6.64219089202984,90695,974,6.64219089202984,0,0,0,1,0,1,0
3,15,92721,972,6.64266123521381,92721,972,6.64266123521381,0,0,0,1,0,1,0
3,16,93138,973,6.63881598614476,93138,973,6.63881598614476,0,0,0,1,0,1,0
3,17,93724,973,6.63550450022129,93724,973,6.63550450022129,0,0,0,1,0,1,0
3,18,93597,973,6.63198303853891,93597,973,6.63198303853891,0,0,0,1,0,1,0
3,19,93993,973,6.62956546332191,93993,973,6.62956546332191,0,0,0,1,0,1,0
3,20,93863,970,6.62732647442014,93863,970,6.62732647442014,0,0,0,1,0,1,0
3,21,93726,971,6.6248725897366,93726,971,6.6248725897366,0,0,0,1,0,1,0
3,22,93733,968,6.62272167137958,93733,968,6.62272167137958,0,0,0,1,0,1,0
3,23,93889,965,6.62030763136012,93889,965,6.62030763136012,0,0,0,1,0,1,0
3,24,93873,965,6.61753233857876,93873,965,6.61753233857876,0,0,0,1,0,1,0
3,25,93624,964,6.61390847933569,93624,964,6.61390847933569,0,0,0,1,0,1,0
3,26,93736,960,6.60999800815259,93736,960,6.60999800815259,0,0,0,1,0,1,0
3,27,93588,959,6.60516866995128,93588,959,6.60516866995128,0,0,0,1,0,1,0
3,28,93800,959,6.6027513077027,93800,959,6.6027513077027,0,0,0,1,0,1,0
3,29,93772,957,6.6014897852296,93772,957,6.6014897852296,0,0,0,1,0,1,0
3,30,93857,957,6.5991234546493,93857,957,6.5991234546493,0,0,0,1,0,1,0
3,31,93748,956,6.59779195436936,93748,956,6.59779195436936,0,0,0,1,0,1,0
3,32,93683,955,6.59371936595563,93683,955,6.59371936595563,0,0,0,1,0,1,0
3,33,93919,953,6.59125345844884,93919,953,6.59125345844884,0,0,0,1,0,1,0
3,34,93921,954,6.58799918376952,93921,954,6.58799918376952,0,0,0,1,0,1,0
3,35,94022,954,6.58527767877911,94022,954,6.58527767877911,0,0,0,1,0,1,0
3,36,93600,952,6.58338600736206,93600,952,6.58338600736206,0,0,0,1,0,1,0
3,37,93515,952,6.5806812956249,93515,952,6.5806812956249,0,0,0,1,0,1,0
3,38,93525,953,6.57732170049415,93525,953,6.57732170049415,0,0,0,1,0,1,0
3,39,93585,953,6.5767535821005,93585,953,6.5767535821005,0,0,0,1,0,1,0
3,40,93632,950,6.57521036547893,93632,950,6.57521036547893,0,0,0,1,0,1,0
3,41,14058,310,5.27288588529291,7029,164.5,4.02608216112103,37.0333333333333,19.0333333333333,2.71298329138541,0.15,0.3,2,30
3,42,14140,308,5.26540407481268,7070,162.5,3.94766009847816,37.7,19.0666666666667,2.70796134710559,0.15,0.3,2,30
3,43,14128,305,5.25682248456531,7064,161,3.95132654868317,37.9666666666667,19.1666666666667,2.70927546069176,0.15,0.3,2,30
3,44,14079,300,5.25470843448789,7039.5,157.5,3.95020846271942,36.9333333333333,19.0333333333333,2.71201123963151,0.15,0.3,2,30
